plot_id,BK_ID,block_id,transect_id,plot_no,plot_noo,plot_date_year,plot_date_month,plot_date_day,plot_start_time_hour,plot_start_time_minute,team_leader,team_leader_qualifier,gps_no,altitude,altitude_unit_name,plot_coordinate_srs,plot_coordinate_x,plot_coordinate_y,photos_photo_n,photos_photo_e,photos_photo_s,photos_photo_w,canopy,land_use,land_use_specify,plot_condition.1.,plot_condition.2.,notes,plot_end_time_hour,plot_end_time_minute,trees_ha,ag_biomass_ha,bg_biomass_ha,total_biomass_ha,ag_carbon_ha,bg_carbon_ha,total_carbon_ha,total_co2_ha
10811,108,MAB-107D,1,1,1,2015,12,19,15,2,1,,1,0,,EPSG:32636,46206,507036,,,,,NA,2,,,,0,15,42,380,317.5895712,76.22149708,393.8110682,158.7947856,38.11074854,196.9055341,721.9869585
10812,108,MAB-107D,1,2,2,2015,12,20,10,55,1,,1,0,,EPSG:32636,46213,507202,,,,,NA,2,,,,0,11,20,280,410.9732806,98.63358735,509.606868,205.4866403,49.31679367,254.803434,934.2792579
10813,108,MAB-107D,1,3,3,2015,12,20,12,22,1,,1,0,,EPSG:32636,46190,507292,,,,,NA,2,,,,0,13,6,340,249.2614843,59.82275623,309.0842405,124.6307421,29.91137812,154.5421203,566.654441
10814,108,MAB-107D,1,4,4,2015,12,20,13,12,1,,1,0,,EPSG:32636,46205,507351,,,,,NA,2,,,,0,13,40,340,321.8003973,77.23209535,399.0324926,160.9001986,38.61604768,199.5162463,731.5595699
10815,108,MAB-107D,1,5,5,2015,12,20,14,18,1,,1,0,,EPSG:32636,46198,507442,,,,,NA,2,,,,0,14,41,220,134.5868371,32.30084091,166.8876781,67.29341857,16.15042046,83.44383903,305.9607431
10816,108,MAB-107D,1,6,6,2015,12,20,14,47,1,,1,0,,EPSG:32636,46191,507525,,,,,NA,2,,,,0,15,10,220,303.2840728,72.78817747,376.0722503,151.6420364,36.39408874,188.0361251,689.4657922
10817,108,MAB-107D,1,7,7,2015,12,20,15,16,1,,1,0,,EPSG:32636,46196,507644,,,,,NA,2,,,,0,15,47,360,240.836706,57.80080945,298.6375155,120.418353,28.90040472,149.3187577,547.5021117
10818,108,MAB-107D,1,8,8,2015,12,20,15,53,1,,1,0,,EPSG:32636,46194,507743,,,,,NA,2,,,,0,16,5,60,95.89110333,23.0138648,118.9049681,47.94555166,11.5069324,59.45248406,217.9924416
10819,108,MAB-107D,1,9,9,2015,12,20,16,12,1,,1,0,,EPSG:32636,46190,507845,,,,,NA,2,,,,0,16,31,140,414.5530562,99.49273348,514.0457896,207.2765281,49.74636674,257.0228948,942.417281
108110,108,MAB-107D,1,10,10,2015,12,20,16,40,1,,1,0,,EPSG:32636,46193,507942,,,,,NA,2,,,,0,17,11,380,321.0114895,77.04275747,398.054247,160.5057447,38.52137874,199.0271235,729.7661194
10911,109,MAB-107H,1,1,1,2015,12,21,10,10,7,,4,1112,m,EPSG:32636,507062,45984,,,,,3,2,,,,normal,10,30,320,534.845444,128.3629066,663.2083505,267.422722,64.18145328,331.6041753,1215.881976
10912,109,MAB-107H,1,2,2,2015,12,21,10,32,7,,2,1165,m,EPSG:32636,507158,45995,,,,,3,2,,,,NORMAL,10,58,300,201.5531141,48.37274739,249.9258615,100.7765571,24.1863737,124.9629308,458.1974128
10913,109,MAB-107H,1,3,3,2015,12,21,11,5,7,,2,1224,m,EPSG:32636,507245,45998,,,,,3,2,,,,NORMAL,11,23,240,256.3794541,61.53106899,317.9105231,128.1897271,30.76553449,158.9552616,582.835959
10914,109,MAB-107H,1,4,4,2015,12,21,11,30,7,,2,1246,m,EPSG:32636,507349,45990,,,,,3,2,,,,NORMAL,11,57,320,365.724081,87.77377944,453.4978604,182.8620405,43.88688972,226.7489302,831.4127442
10915,109,MAB-107H,1,5,5,2015,12,21,12,5,7,,2,1249,m,EPSG:32636,507444,45995,,,,,2,2,,,,NORMAL,12,30,200,167.7143399,40.25144158,207.9657815,83.85716996,20.12572079,103.9828907,381.2705994
10916,109,MAB-107H,1,6,6,2015,12,21,12,21,3,,1,1177,m,EPSG:32636,507544,45994,,,,,2,2,,,,NORMAL,12,43,180,126.6518251,30.39643803,157.0482631,63.32591256,15.19821901,78.52413157,287.9218158
10917,109,MAB-107H,1,7,7,2016,1,20,14,39,7,,2,1164,m,EPSG:32636,507647,45989,,,,,3,2,,,,NORMAL,13,4,240,287.1323635,68.91176724,356.0441308,143.5661818,34.45588362,178.0220654,652.7475731
10918,109,MAB-107H,1,8,8,2016,1,20,13,9,7,,2,1167,m,EPSG:32636,507735,45995,,,,,3,2,,,,NORMAL,13,26,200,53.29208584,12.7901006,66.08218644,26.64604292,6.3950503,33.04109322,121.1506751
